reTau,imTau,coneDeficit,margin
0.7272075,0.6393478,3.55271e-14,1.30328e-9
0.7272189,0.6393476,7.63833e-14,2.46145e-8
0.7272311,0.6393489,5.15143e-14,2.11515e-9
0.7272399,0.6393504,8.70415e-14,2.16524e-9
0.7272491,0.6393529,5.15143e-14,1.96541e-8
0.7272575,0.6393558,3.19744e-14,3.59332e-8
0.7272664,0.6393582,5.32907e-14,1.18354e-8
0.7272744,0.6393593,2.84217e-14,1.09467e-8
0.7272834,0.6393606,6.48370e-14,2.74077e-8
0.7272913,0.6393638,5.06262e-14,2.29962e-8
0.7273004,0.6393655,5.32907e-14,2.12591e-8
0.7273099,0.6393667,6.75016e-14,1.82779e-9
0.7273185,0.6393682,5.41789e-14,1.45979e-8
0.7273259,0.6393679,4.26326e-14,1.53003e-8
0.7273303,0.6393695,5.86198e-14,7.73063e-10
0.7273361,0.639372,4.79616e-14,5.12301e-10
0.7273424,0.6393742,5.77316e-14,7.49312e-10
0.7273456,0.6393757,5.50671e-14,1.29830e-8
0.72735,0.6393768,7.19425e-14,3.27204e-9
0.7273547,0.6393776,4.08562e-14,1.55678e-8
0.7273609,0.6393795,7.54952e-14,1.14749e-11
0.727367,0.6393812,6.03961e-14,5.64667e-9
0.7273739,0.6393819,1.08358e-13,1.73094e-8
0.7273831,0.6393817,4.88498e-14,6.82003e-9
0.7273897,0.6393835,3.99680e-14,1.08574e-8
0.7273954,0.6393853,6.12843e-14,1.46128e-8
0.7274015,0.6393885,4.70735e-14,1.94092e-8
0.7274115,0.6393879,7.10543e-14,1.00520e-8
0.727416,0.6393891,6.92779e-14,2.36595e-8
0.7274222,0.6393901,2.93099e-14,5.56331e-9
0.7274285,0.6393927,7.72715e-14,1.12143e-8
0.727436,0.6393934,7.90479e-14,6.76883e-9
0.7274437,0.6393945,3.46390e-14,1.46873e-8
0.7274516,0.6393956,6.39488e-14,2.21530e-8
0.7274591,0.6393961,4.08562e-14,1.52152e-8
0.7274645,0.639397,3.10862e-14,2.28259e-8
0.7274722,0.6393977,1.86517e-14,6.64491e-10
0.7274785,0.639399,5.95080e-14,1.04163e-8
0.7274833,0.6394001,1.24345e-14,1.11024e-8
0.72749,0.639401,5.59552e-14,1.70738e-8
0.7274948,0.6394019,2.57572e-14,1.30041e-8
0.7275016,0.6394029,3.37508e-14,2.03295e-8
0.7275085,0.6394031,6.12843e-14,9.52967e-9
0.7275159,0.6394037,5.41789e-14,3.62767e-9
0.7275204,0.6394042,2.39808e-14,1.23733e-8
0.727526,0.6394036,3.81917e-14,1.31942e-8
0.7275334,0.639403,3.19744e-14,1.01517e-8
0.7275383,0.6394038,1.08358e-13,1.63662e-8
0.7275443,0.6394041,6.57252e-14,2.64370e-9
0.7275481,0.6394049,5.32907e-14,1.89828e-8
0.7275528,0.6394074,5.95080e-14,3.50405e-9
0.7275549,0.6394097,2.66454e-14,1.03497e-8
0.7275576,0.6394109,9.05942e-14,5.65677e-9
0.7275614,0.6394126,1.86517e-14,1.03884e-8
0.7275674,0.6394137,4.08562e-14,1.70705e-9
0.7275734,0.6394146,8.43769e-14,9.04395e-9
0.7275778,0.6394152,4.61853e-14,6.98897e-9
0.7275822,0.6394157,4.08562e-14,2.65940e-9
0.7275859,0.6394161,8.34888e-14,1.13696e-8
0.7275909,0.6394168,5.59552e-14,1.80551e-9
0.7275953,0.639417,5.59552e-14,1.60430e-8
0.7276005,0.6394185,4.26326e-14,5.53081e-9
0.7276062,0.6394198,2.84217e-14,9.09103e-9
0.7276096,0.63942,1.40332e-13,6.79365e-9
0.727615,0.6394202,5.32907e-14,1.32150e-9
0.7276187,0.6394206,4.97380e-14,2.93703e-9
0.7276244,0.6394195,5.77316e-14,1.27296e-9
0.7276276,0.63942,6.75016e-14,3.23693e-9
0.7276326,0.6394208,1.20792e-13,1.02986e-9
0.7276366,0.6394206,6.39488e-14,3.42469e-9
0.7276375,0.6394213,8.34888e-14,1.72845e-9
0.7276411,0.6394208,1.52767e-13,9.98490e-11
0.7276429,0.639422,1.24345e-14,7.57453e-9
0.727645,0.6394221,2.84217e-14,2.39730e-9
0.7276498,0.6394228,4.08562e-14,4.39943e-9
0.7276538,0.6394237,4.79616e-14,1.18671e-8
0.7276587,0.6394254,3.28626e-14,5.15604e-9
0.7276611,0.639426,1.36779e-13,8.55237e-10
0.7276643,0.6394263,9.76996e-14,1.16287e-9
0.7276682,0.6394273,4.79616e-14,8.20069e-9
0.7276718,0.6394279,5.15143e-14,1.04069e-8
0.7276768,0.6394281,4.97380e-14,5.33359e-9
0.7276836,0.6394279,7.10543e-14,4.12002e-9
0.7276899,0.6394279,7.28306e-14,4.61831e-9
0.7276928,0.6394294,1.12799e-13,6.29372e-9
0.7276985,0.6394308,1.31450e-13,9.78271e-9
0.7277022,0.6394315,5.77316e-14,6.04961e-9
0.7277051,0.639432,8.43769e-14,1.33153e-8
0.7277074,0.6394324,5.77316e-14,1.15866e-8
0.7277121,0.6394327,1.08358e-13,7.74034e-9
0.7277146,0.6394338,9.85878e-14,1.22061e-8
0.7277179,0.6394349,6.03961e-14,9.82654e-9
0.7277215,0.6394356,1.47438e-13,8.80408e-9
0.7277266,0.6394354,4.70735e-14,1.05491e-8
0.7277319,0.6394364,9.59233e-14,8.00613e-9
0.727736,0.6394383,1.61648e-13,6.27465e-9
0.7277378,0.6394408,8.88178e-14,8.22643e-10
0.727744,0.6394404,7.01661e-14,8.20925e-9
0.7277474,0.6394417,8.26006e-14,9.80850e-9
