reTau,imTau,coneDeficit,margin
0,2.216456,3.55271e-15,0.00345174
0,9.467671,4.17444e-14,0.00127028
0,1.024801,4.44089e-15,0.00194005
0,1.021616,1.42109e-14,0.000258980
0,1.024566,1.77636e-15,0.00115654
0,5.159317,8.88178e-15,0.00164755
0,1.008904,3.55271e-15,0.00104381
0,1.006425,3.64153e-14,0.000844695
0,1.777211,3.41949e-13,0.00308643
0,2.950279,5.32907e-15,0.00166514
0,4.879478,2.66454e-15,0.00120351
0,1.010643,7.10543e-14,0.00000449256
0,13.48386,1.86517e-14,0.000450477
0,1.031862,8.08242e-14,0.000453242
0,2.06992,7.10543e-15,0.00143283
0,3.714235,4.08562e-14,0.00257320
0,3.918008,3.55271e-15,0.000333755
0,5.015577,1.06581e-14,0.000910582
0,3.569593,4.44089e-15,0.000958622
0,4.570731,4.44089e-15,0.00257130
0,1.008406,1.77636e-15,0.000464271
0,3.975343,4.44089e-15,0.00285671
0,4.10784,1.27898e-13,0.00112251
0,0.7231192,8.08242e-14,0.00136711
0,2.488212,5.32907e-15,0.00298816
0,1.991517,3.55271e-15,0.000815107
0,3.438266,7.10543e-15,0.00301107
0,4.337198,7.10543e-15,0.00227053
0,2.398485,4.44089e-15,0.000770923
0,3.990054,3.55271e-15,0.000873843
0,1.016199,2.89546e-13,0.00201634
0,1.020075,8.88178e-16,0.000307955
0,0.7183559,2.66454e-15,0.00191600
0,3.764891,7.10543e-15,0.00110302
0,1.017023,3.55271e-15,0.000801212
0,1.018226,3.96128e-13,0.00108791
0,1.031599,8.88178e-16,0.00177696
0,1.023947,4.79616e-14,0.00113065
0,6.849665,1.15463e-14,0.00205289
0,1.009839,3.55271e-15,0.00134886
0,8.647181,1.17240e-13,0.00148232
0,4.1062,1.06581e-14,0.000719096
0,1.015718,7.86926e-13,0.000447149
0,3.392142,4.44089e-15,0.00317667
0,2.084767,3.55271e-15,0.00182904
0,1.806033,8.88178e-16,0.000186269
0,4.544196,5.32907e-15,0.00249797
0,1.684513,1.77636e-15,0.000590984
0,1.014543,3.55271e-15,0.00157096
0,3.726871,7.10543e-15,0.000655540
0,2.506671,3.55271e-15,0.000131685
0,1.010636,3.55271e-15,0.000569025
0,1.018762,5.32907e-15,0.000168909
0,13.1802,1.50990e-14,0.000121996
0,5.336499,1.15463e-14,0.00153248
0,3.961315,7.10543e-15,0.000530914
0,1.008697,3.55271e-15,0.00189518
0,1.017561,7.10543e-15,0.000351437
0,0.9886582,9.32587e-14,0.000586953
0,1.019554,4.44089e-15,0.00149790
0,1.024564,1.77636e-15,0.000596309
0,3.87276,6.92779e-14,0.000828369
0,0.9934988,1.77636e-15,0.000236674
0,1.018122,1.06581e-14,0.000424233
0,9.260711,1.42109e-14,0.000160116
0,2.891973,4.44089e-15,0.00148041
0,1.008093,3.55271e-15,0.00161706
0,2.655224,4.44089e-15,0.000887255
0,0.9842862,1.77636e-15,0.000580375
0,1.012652,1.77636e-15,0.000396926
0,3.470526,4.44089e-15,0.00281171
0,1.019589,1.77636e-15,0.00115481
0,1.003863,1.77636e-15,0.000643383
0,1.016868,3.55271e-15,0.000263410
0,3.17467,2.13163e-14,0.00361871
0,1.013245,3.64153e-14,0.000749798
0,1.858068,1.77636e-15,0.00120214
0,6.549126,8.88178e-15,0.00204673
0,0.8857367,2.66454e-15,0.00127177
0,3.092078,1.39444e-13,0.00239639
0,1.01467,7.72715e-14,0.000639407
0,3.914358,7.10543e-15,0.00331253
0,4.688543,1.59872e-13,0.00230608
0,1.009639,3.55271e-15,0.000759407
0,2.53425,5.42677e-13,0.0000709906
0,1.017417,5.32907e-15,0.00124327
0,1.023032,8.44658e-13,0.00155133
0,3.043935,4.06786e-13,0.00255872
0,1.017903,4.44089e-15,0.000128189
0,2.093431,5.32907e-15,0.000596104
0,1.464342,4.44089e-15,0.00168314
0,4.05706,5.32907e-15,0.00112226
0,1.008139,8.95284e-13,0.00167329
0,2.271491,3.55271e-15,0.00158482
